Data,EOL,EOL_CAT,HID,HID_CAT,NUC,NUC_CAT,TER,TER_CAT,SIN-DM,SIN-DM_CAT,SIN-EA,SIN-EA_CAT,PLD,PLD_CAT,Preco,Preco_CAT,Preco_L,Preco_L_CAT
2016-06-30,0.04072099916176719,3,0.014425002990444408,4,-0.025682922806970463,0,-0.015215481000148575,1,0.010223225812171414,4,0.012212465088116738,2,-0.013481073734167856,2,-0.015420236433600427,2,-0.0009460035371782795,1
2016-07-31,0.035215684561329,3,0.008730693650756524,4,-0.018811602230542717,0,-0.03284275338081481,0,0.002448337353577782,3,-0.002315606691594621,1,0.04087944198893329,3,0.00813358829894265,2,0.003023818286817747,2
2016-08-31,0.0166030114011071,2,-0.0020449782572267644,2,-0.016965939311490777,0,-0.03512706072624472,0,-0.0068777332288615135,0,-0.02105644837734708,1,0.07855256649047089,4,0.055472200096608165,3,0.012067360356243634,3
2016-09-30,0.0046322931806328915,0,0.0046843291282904756,3,-0.010003951420280637,1,-0.0058253567895793475,2,0.0012567267557660855,2,-0.023979961702804274,1,0.10957993168268212,4,0.10552204273680284,4,0.021139300303463837,4
2016-10-31,0.01511101544873828,2,0.011890174497722495,4,0.009058511700717064,3,0.01971383958559975,3,-0.0017118369009873414,1,-0.03291748701421625,0,0.17877664435502302,4,0.1602159971809375,4,0.026639361514658025,4
2016-11-30,0.01746731726423182,2,0.00917130448293033,4,0.010813224410280375,3,0.02622586485695051,3,-0.0013846921193412039,1,-0.03241041292627699,0,0.19924696116487522,4,0.1400924737267074,4,0.02739851148959337,4
2016-12-31,0.013274384714112922,1,-0.0012287182700559452,2,-0.0017022656500138111,2,0.007993330107163623,3,0.001385063477861152,2,-0.023815893319960424,1,0.1007896894282398,4,0.07935489440354113,4,0.024006268895313522,4
2017-01-31,0.021696483500927673,2,-0.005076879627805562,1,0.01042081377868446,3,0.014327381552350082,3,0.0012225411921905698,2,-0.024375439099450277,1,0.059845737590923646,3,0.058499698330763655,4,0.018614824501161843,4
2017-02-28,0.02759059655699583,3,-0.010251093793945558,0,0.001486074287992697,2,0.03409318933935823,3,0.0006292143728964663,1,-0.026040817757895258,0,0.12727747314248422,4,0.04582994044636618,3,0.010635284344897944,3
2017-03-31,0.05065400283619024,4,-0.00015413418258598209,2,-0.013863718213833325,1,0.04683600973580331,4,0.01156275030827166,4,-0.021849826519067743,1,0.14660905997757515,4,0.048687986005465,3,0.003984252028125235,2
